Solids,rA,rB,rX,vA,vB,bX,EA,EB,EX,a
CsIO3,1.88,0.95,1.35,1,5,-2,0.79,2.66,3.44,4.674
RbUO3,1.72,0.76,1.35,1,5,-2,0.82,1.38,3.44,4.323
KUO3,1.64,0.76,1.35,1,5,-2,0.82,1.38,3.44,4.29
RbPaO3,1.72,0.78,1.35,1,5,-2,0.82,1.5,3.44,4.368
KPaO3,1.64,0.78,1.35,1,5,-2,0.82,1.5,3.44,4.341
KTaO3,1.64,0.64,1.35,1,5,-2,0.82,1.5,3.44,3.988
KNbO3,1.64,0.64,1.35,1,5,-2,0.82,1.6,3.44,4.007
NaTaO3,1.39,0.64,1.35,1,5,-2,0.93,1.5,3.44,3.881
NaAlO3,1.39,0.535,1.35,1,5,-2,0.93,1.61,3.44,3.73
NaWO3,1.39,0.62,1.35,1,5,-2,0.93,2.36,3.44,3.85
CsCdF3,1.88,0.95,1.285,1,2,-1,0.79,1.69,3.98,4.47
CsCaF3,1.88,1,1.285,1,2,-1,0.79,1,3.98,4.523
CsHgF3,1.88,1.02,1.285,1,2,-1,0.79,2,3.98,4.57
CsSrF3,1.88,1.18,1.285,1,2,-1,0.79,0.95,3.98,4.75
CsEuF3,1.88,1.17,1.285,1,2,-1,0.79,1.2,3.98,4.78
CsPbF3,1.88,1.19,1.285,1,2,-1,0.79,1.87,3.98,4.8
CsYbF3,1.88,1.02,1.285,1,2,-1,0.79,1.1,3.98,4.61
CsCaCl3,1.88,1,1.79,1,2,-1,0.79,1,3.16,5.396
CsCdCl3,1.88,0.95,1.79,1,2,-1,0.79,1.69,3.16,5.21
CsPbCl3,1.88,1.19,1.79,1,2,-1,0.79,1.87,3.16,5.605
CsHgCl3,1.88,1.02,1.79,1,2,-1,0.79,2,3.16,5.41
CsEuCl3,1.88,1.17,1.79,1,2,-1,0.79,1.2,3.16,5.627
CsTmCl3,1.88,1.03,1.79,1,2,-1,0.79,1.25,3.16,5.476
CsYbCl3,1.88,1.02,1.79,1,2,-1,0.79,1.1,3.16,5.437
CsPbBr3,1.88,1.19,1.95,1,2,-1,0.79,1.87,2.96,5.874
RbZnF3,1.72,0.74,1.285,1,2,-1,0.82,1.65,3.98,4.122
RbCoF3,1.72,0.745,1.285,1,2,-1,0.82,1.88,3.98,4.141
RbVF3,1.72,0.79,1.285,1,2,-1,0.82,1.63,3.98,4.17
RbFeF3,1.72,0.78,1.285,1,2,-1,0.82,1.83,3.98,4.174
RbMnF3,1.72,0.83,1.285,1,2,-1,0.82,1.55,3.98,4.24
RbCdF3,1.72,0.95,1.285,1,2,-1,0.82,1.69,3.98,4.398
RbCaF3,1.72,1,1.285,1,2,-1,0.82,1,3.98,4.452
RbHgF3,1.72,1.02,1.285,1,2,-1,0.82,2,3.98,4.47
RbPdF3,1.72,0.86,1.285,1,2,-1,0.82,2.2,3.98,4.298
RbYbF3,1.72,1.02,1.285,1,2,-1,0.82,1.1,3.98,4.53
RbPbF3,1.72,1.19,1.285,1,2,-1,0.82,1.87,3.98,4.79
KCaF3,1.64,1,1.285,1,2,-1,0.82,1,3.98,4.38
KCdF3,1.64,0.95,1.285,1,2,-1,0.82,1.69,3.98,4.293
KMgF3,1.64,0.72,1.285,1,2,-1,0.82,1.31,3.98,3.989
KNiF3,1.64,0.69,1.285,1,2,-1,0.82,1.91,3.98,4.013
KZnF3,1.64,0.74,1.285,1,2,-1,0.82,1.65,3.98,4.056
KCoF3,1.64,0.745,1.285,1,2,-1,0.82,1.88,3.98,4.071
KVF3,1.64,0.79,1.285,1,2,-1,0.82,1.63,3.98,4.1
KFeF3,1.64,0.78,1.285,1,2,-1,0.82,1.83,3.98,4.121
KMnF3,1.64,0.83,1.285,1,2,-1,0.82,1.55,3.98,4.189
NaVF3,1.39,0.79,1.285,1,2,-1,0.93,1.63,3.98,3.94
NaMgF3,1.39,0.72,1.285,1,2,-1,0.93,1.31,3.98,3.84
NaZnF3,1.39,0.74,1.285,1,2,-1,0.93,1.65,3.98,3.88
NaCoF3,1.39,0.745,1.285,1,2,-1,0.93,1.88,3.98,3.9
AgMgF3,1.48,0.72,1.285,1,2,-1,1.93,1.31,3.98,3.918
AgNiF,3,1.48,0.69,1.285,1,2,-1,1.93,1.91,3.98
AgZnF,3,1.48,0.74,1.285,1,2,-1,1.93,1.65,3.98
